web-scraper-order,web-scraper-start-url,photo-src,title,price
"1676377601-321","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://87.img.avito.st/image/1/1.XuzFY7a28gWzxEAE9TYnvw_A8g97APS3cMDw.m_cBSya8YCeYQzmbYOaQcw7XnanjV2wVkqO0WlT5QE0","Honor 9x 4/128","7 300 ₽"
"1676377601-322","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://25.img.avito.st/image/1/1.QCUZ67a27MxvTF7NFbJOKtRI7ManiOp-rEju.R3hMMio8jLWok2-D_oA3VQt4RjyoUz7mzHXESUVmaN0","Honda CBR 600rr","830 000 ₽"
"1676377601-323","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://22.img.avito.st/image/1/1.U2jxrLa2_4GHC02A25FUSzwP_4tPz_kzRA_9.a6cI9xpX7HoYrg4U9EbV8dayh7V-YY_fpP9CdFVYUTg","Samsung Galaxy S10e 6/128","14 000 ₽"
"1676377601-324","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://20.img.avito.st/image/1/1.kdYqnra2PT9cOY8-BKSl9ec9PTWU_TuNnz0_.X_ENqmz3mn3q8qa_lB8JLratS9_U5QPnrUqnVkHuaSU","Honor 10i 4/128","7 500 ₽"
"1676377601-325","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://30.img.avito.st/image/1/1.q-THZLa2Bw2xw7UMnQqQxwrHBwd5BwG_cscF.feEQn8Ma3Imxqc3yYkEevO7f5vrVh8r4UclG2lnO3ME","Honor 10 3/32","5 800 ₽"
"1676377601-326","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://73.img.avito.st/image/1/1.fLNXQLa20Foh52JbI01dkJrj0FDpI9bo4uPS.vJfaa38gK6Yc2SEUWJKysqwlX93ZPAasqFGQ_RPRO3M","Honor 20 6/128","11 300 ₽"
"1676377601-327","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://23.img.avito.st/image/1/1.PtPOr7a2kjq4CCA7vssZ8AMMkjBwzJSIewyQ.Nctgd0IJd6TXq2DHFcjuYxVq7TO5U19iH4rZO8a-HN0","Samsung Galaxy A70 6/128","10 800 ₽"
"1676377601-328","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://74.img.avito.st/image/1/1.P5tF_7a2k3IzWCFzN5MVuIhck3j7nJXA8FyR.1uQ2dHic7dEcVd1fzn6Yy9hJDElWE3Pqm9Qfh9uWBlU","Samsung Galaxy A50 4/64","8 300 ₽"
"1676377601-329","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://26.img.avito.st/image/1/1.m_tvxLa2NxIZY4UTVb7K16JnNxjRpzGg2mc1.hYYf8rsw7B464RBYUh9byCLV0J1q4zTJx7jz2jY_p3E","Samsung Galaxy A30s 3/32","7 300 ₽"
"1676377601-330","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://76.img.avito.st/image/1/1.Kc-q4La2hSbcRzcn9JR842dDhSwUg4OUH0OH.c2WnyJtKHMWXp99PgCl58cPaoeXulSMmbgosQQ-0s40","Samsung Galaxy A10 2/32","4 600 ₽"
"1676377601-331","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://35.img.avito.st/image/1/1.lm2Vm7a2OoTjPIiFtcHAQVg4Oo4r-Dw2IDg4.34OfmXAK3TDR7JLy3cyspwWy5K5I1u8nU2BpbsZop20","Samsung Galaxy A20 3/32","5 500 ₽"
"1676377601-332","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://01.img.avito.st/image/1/1.DFNUvra2oLoiGRK7QNJQf5kdoLDq3aYI4R2i.JSMqAUyY-v3zb7KoMcgUpyq_r5dHkCyqHyv9-HF4Eto","Samsung galaxy A30 3/32","6 500 ₽"
